Column1,Column2
83,장애인 특수교육의 실태 및 개선방안에 관한 연구 = A Study on Reality and Suggestions of Special Education for the Handicapped
84,"정신지체인의 직업교육·훈련과정 및 연계에 관한 연구 : 지역사회 장애인복지관, 특수학교를 중심으로 = (A) study on the vocational education & training curriculum and linkage for the mentally retarded : Focused on the local community welfare centers for the disabled and special schools for the mentally retarded"
85,유치원 특수교육보조원제 운영에 관한 질적연구 = Qualitative Research on Pre-School Special Education Assistant Operation System
86,특수아 조기교육기관의 교사가 인식하고 있는 운영의 실태와 개선방안 = Study on the Current Situation and the Improvement of the Early Special Education Institutes which Teachers recognize.
87,특수교육보조원의 활용실태와 통합교육을 위한 바람직한 역할 탐색
88,특수교육보조원제도에 관한 인식 연구 : 특수학교를 중심으로
89,특수교육지원센터의 특수교육관련서비스에 대한 장애유아부모의 인식도와 요구도 조사
90,통합교육의 촉진을 위한 통합학급교사와 특수학급 교사의 협력정도와 개선방안 = Degree and strategies of cooperation improvements between integration class teachers and special class teachers for the promotion of inclusive educations
91,장애 영·유아를 위한 특수교육 제도 고찰
92,"유아특수교사의 실천적 지식에 기초한 주제중심 통합교육과정 수정,적용 지침 개발"
93,반성적 임상장학이 유아 통합교육 교사의 놀이 교수실제와 특수유아의 놀이발달에 미치는 영향
94,특수교육실무사의 직무 만족도와 직무 스트레스 간의 관계 = A Study on the Relationship between Job Satisfaction and Stresses of Special Education Assistants
95,유·초등학교 특수교육보조원 제도의 인식 : 현 정부지원 특수교육보조원 중심으로 = A study on teacher-aide system in special education of kindergarten and primary school : based on teacher-aide system in special education supported by the present government
96,중등특수교육기관의 전환교육실태 및 개선방안 연구 : 전남지역을 중심으로 = A study on current conditions of transition education in middle school level special education institutes and policies for the improvement
97,경상남도 특수교육 재정 지원에 대한 교직원의 인식과 만족도 조사
98,특수학교 중등 발달장애학생의 전환교육 실태 및 특수교사의 인식
99,정신지체 및 정서장애 특수학교의 진로교육실태와 교사인식에 관한 조사
100,"인천지역 중도·중복장애학급 학생들의 통합교육 실태 및 특수교사, 일반교사, 학부모의 만족도 조사 = A study on realities of severe and multiple handicapped students' class with inclusive education in Incheon and satisfaction of their special and inclusive classroom teachers, and parents."
101,"시각, 청각, 지체부자유 특수학교 학생의 대학진학 활성화를 위한 고등부 교육과정 운영 실태 및 교사와 학생들의 지원요구 조사"
102,과학과 탐구수업에 대한 초등 특수교육 교사의 자아개념과 교수 불안 특성 = Characteristics on Self-concept and Teaching Anxiety of Elementary Special Education Teachers about Inquiry Instruction in the Science Class
103,유아특수학교 학교 수준 교육과정 개발에 대한 교사들의 인식에 관한 연구 = (A) Study on the Recognition Survey of Teachers at the Disabled Preschool about the School-Based Curriculum Development
104,한국특수교육학회 학술지의 변화과정에 따른 연구 동향 분석
105,특수학교(급) 유치부의 개별화교육계획 운영 현황 및 요구조사 = (A) Study on the Situation of Administration and the Demands of IEP for Young Children with Disability in Special School(Special Class)
106,中學校 特殊 學級 進路 敎育 實態 分析 = (An) Investigative study of career education realities in junior high school special classes
107,청각장애 특수학교 교사의 ICT 활용 교육 실태 및 인식 연구 = A Study on the Teachers' Perceptions and Current Status about ICT Application Education at Deaf School
108,고등학교 유형에 따른 특수학급 진로교육 운영실태 및 개선방안 = Analysis on the Statues of Operation Conditions and Improvement of Career Education for Students in Special Education Classrooms Depend on the Type of High School
109,특수교육지원센터의 운영 현황 및 요구 조사
110,특수교육대상자 배치계획 분석 연구 : 학부모의 특수교육기관 선택 요인 분석을 중심으로
111,수학영재교육대상자 관찰 .추천에 사용되는 특수학업적성 체크리스트의 실효성에 관한 연구
112,인근지역 특수학급 간 교육과정 공동 편성·운영의 활성화를 위한 개선 방안 = The Needs for Invigorate the Joint Organization and Operation of a Curriculum among the Special Classes in Nearby Area
113,인천지역 초등 특수학급 교사의 특수교육보조원 관리감독 실태 연구
114,特殊敎育 奬學實態와 改善模型 分析
115,영미 특수교육 관련법규 분석을 통한 우리나라 통합교육의 고찰 = Korea Inclusion Education's Study from Comparison on Relative Special Education Law on America and England
116,중·고등학교 특수학급의 진로·직업교육 실태 및 특수교사의 인식연구 : 장애인 등에 대한 특수교육법을 중심으로
117,정신지체 특수학교 직업교육연구 경향 분석
118,중학교 특수학급 영어교육 실태 연구
119,정서·행동장애 아동에 대한 교사와 학부모의 특수교육지원센터 지원인식 연구 = Study on teacher and parents awareness of the support by the special education support center for children with emotional or behavioral disorders
120,지체장애 특수학교 교육과정 편성 및 운영의 실제와 개선 요구
121,특수교육대상학생의 방학 중 계절학교 참여 실태 조사 연구 = (A)Study on the participation of students with special needs in seasonal schools during vacation
122,특수교육보조원으로 특수학교에 배치된 공익근무요원에 대한 특수교사의 만족도 분석-P시를 중심으로-
123,특수학급과 일반학급에서 이루어지는 장애아동 교육에 관한 질적 연구 : 통합교육 성공의 열쇠를 쥐고 있는 사람들
124,국악치료교육이 특수아동의 자아효능감과 자아존중감에 미치는 효과연구 : 유색(有色)악보와 말놀이 중심으로 = The Effects of Korean Traditional Music Therapy Using Color-Coded Sheet Music and Word Play on Special Needs Children's Self-Efficacy and Self-Esteem
125,특수체육교육전공 대학생의 교육적 신념과 가치정향 연구 = A Study on educational beliefs and value orientation among special physical education majors
126,특수교육요구학생의 교육기회 평등 분석 = Study on the equality of educational oppertunity for students who need special education
127,特殊(障碍兒) 敎育行政의 發展에 관한 硏究 : 特殊敎育擔當者의 行態를 中心으로
128,특수 목적을 위한 프랑스어 교육 : 성악 전공 학습자들을 위한 프랑스어 교육을 중심으로
129,장애이해 관련 동화 들려주기 활동이 특수교육대상유아에 대한 일반 또래 유아의 인식 및 태도에 미치는 영향
130,特殊敎育施設을 위한 建築計劃的 硏究 : 單位學習空間을 中心으로
131,장애학생의 초등학교에서 일반 중학교로의 전환교육 및 전환기술 : 서울 지역 고학년 특수교사와 통합학급 교사의 인식 및 교수 실태
132,특수교육보조원의 직무성취감이 이직의도에 미치는 영향 : 직무만족도의 매개효과를 중심으로 = The mediating effect of job satisfaction on the relationship between occupational achievement and turnover intention of special education assistants
133,특수교육보조원제 운영에 대한 특수교사와 특수교육보조원의 인식특성 = The Characteristics of Perception on Management of Special Education Assistant System between Special Education Teachers and Assistants
134,교과 간 교육과정 재구성이 특수학교 지적장애 중학생의 직업준비능력에 미치는 영향 : 경기도 화성지역을 중심으로
135,특수교육을 위한 기본 교육과정 사회과의 세계시민교육 내용 분석
136,유치원과정 특수교육대상자 의무교육에 대한 사립유치원 관리자 및 교사의 인식 = Perception of Managers and Teachers of Private Kindergartens on Compulsory Education for Kindergartens Eligible for Special Education
137,초등 특수아동을 위한 국악 교육 연구 : 표현 요법을 중심으로
138,초등 특수학급 교사들의 교육과정 변화에 대한 태도와 운영 실태에 관한 면담 연구
139,특수학급 아동의 통합교육에 대한 교사의 의식 수준 및 개선 방안
